Fecha de radicacion,Hora radicacion (UTC),Hora radicacion (COT),Fecha de inicio de soporte,Hora de inicio de soporte,Fecha de fin de soporte,Hora de fin de soporte
2023-08-18,19:47:05.000,14:47:05,2023-08-18,15:10:02,2023-08-18,15:17:06
2023-08-18,21:30:14.000,16:30:14,2023-08-18,16:45:39,2023-08-18,16:45:40
2023-08-19,14:24:44.000,9:24:44,2023-08-19,11:14:52,2023-08-19,11:15:05
2023-08-19,15:59:07.000,10:59:07,2023-08-19,11:59:40,2023-08-19,11:59:54
2023-08-19,16:18:57.000,11:18:57,2023-08-19,11:34:25,2023-08-19,11:34:33
2023-08-19,16:27:34.000,11:27:34,2023-08-19,12:27:35,2023-08-19,12:27:48
2023-08-22,12:36:34.000,7:36:34,2023-08-22,8:24:32,2023-08-22,8:26:00
2023-08-22,13:45:18.000,8:45:18,2023-08-22,9:01:02,2023-08-22,9:20:22
2023-08-22,13:55:26.000,8:55:26,2023-08-22,9:52:25,2023-08-23,9:53:29
2023-08-22,14:20:18.000,9:20:18,2023-08-22,9:59:59,2023-08-22,10:00:33
